x_pca,y_pca,label,subset,r,r_diff,closest_centroid,f0,f1,x_mds,y_mds
0.891856198121683,0.6424719474500504,0.0,training,1.0,,0,-1.201308637713472,0.04488628913479455,,
-0.14307285660049002,0.2657843273914997,1.0,training,1.0,,0,-1.2244517833325408,0.2365685986945899,,
2.0435719702942663,0.3628682134403164,1.0,training,1.0,,1,-1.3172611039763342,0.49851349304993386,,
1.9139969252112048,0.632901013571515,1.0,training,1.0,,1,-1.2360552482824345,0.16089330405345723,,
0.7073512799990697,-0.2890261442455781,1.0,training,1.0,,1,-1.3196616930043714,0.028339204723795985,,
0.7868182761093534,-0.8085726600118941,1.0,training,1.0,,1,-1.1896283595547508,-0.019371612272178308,,
0.2192956078655196,1.0859512824898483,0.0,training,1.0,,0,-1.329598159092502,-0.1366641915737334,,
-0.10358383883665943,0.08042037088518655,1.0,training,1.0,,0,-1.293363405052476,0.10903871881417244,,
1.6533458018585014,-0.10534903137362966,1.0,training,1.0,,1,-1.37803619041624,0.31667600703015814,,
0.20164225842223246,0.1287912163819884,1.0,training,1.0,,0,-1.3506875403514964,-0.7370140528449384,,
0.5174553511429743,0.9092563479252674,0.0,training,1.0,,0,-1.4490002890350027,-0.6791321131908072,,
0.7651128317424536,0.5614324999646952,0.0,training,1.0,,0,-1.3964609541681834,-0.5526903297369244,,
1.0376795462288095,0.2009556412884004,0.0,training,1.0,,1,-1.4644524658427898,-0.006297965609488067,,
-0.057363284720749565,0.2848387260511377,1.0,training,1.0,,0,-1.427747075230557,-0.1570876675309137,,
1.083799607136216,-0.22597027052542284,1.0,training,1.0,,1,-1.1239362180163042,-0.12119783091076651,,
0.6745791025368962,0.7208013737961831,0.0,training,1.0,,0,-1.4046204671466112,-0.3519515579390661,,
1.734765816349166,-0.23643521733695425,1.0,training,1.0,,1,-1.2319887734302957,-0.16793560490894216,,
1.7081094467049445,0.12338947044631444,1.0,training,1.0,,1,-1.513881510008045,-0.19881746907447923,,
1.8140869646812448,-0.028438873924090908,1.0,training,1.0,,1,-1.2327551901891458,0.4224868368376979,,
0.3917128913804927,0.9612815986443218,0.0,training,1.0,,0,-1.161095355814111,0.22306804245367942,,
0.6075938461359702,0.5348280432299795,0.0,training,1.0,,0,-1.3250542662329363,-0.45876434266784943,,
1.1264015613842928,-0.07472516123095546,0.0,training,1.0,,1,-1.346695599472488,-0.1640904336530535,,
2.0044107270523086,-0.11638046996029895,1.0,training,1.0,,1,-1.1554845349328802,0.4293384719794868,,
-0.0077117182552317596,0.009841825367087394,1.0,training,1.0,,0,-1.2550199047748454,-0.0946474846852243,,
1.1431211247953768,-0.4344297547037877,1.0,training,1.0,,1,-1.2406591991871705,0.22212199384461243,,
-0.011699031468797772,1.0073258682591073,0.0,training,1.0,,0,-1.566043646410421,0.17009749565779983,,
1.0143762047942309,-0.0867684977697405,0.0,training,1.0,,1,-1.4020824215401326,-0.040003737996405435,,
0.8862045661653752,-0.4172664212505133,1.0,training,1.0,,1,-1.124858481244321,-0.19661180799524008,,
0.4194474735901432,-0.4656255821509927,1.0,training,1.0,,1,-1.3840410451158114,0.34174444646895985,,
-0.23438706421496386,1.0065987545046764,0.0,training,1.0,,0,-1.5442081920376982,-0.5575504239501504,,
-0.4296043562416053,0.625850494680843,0.0,training,1.0,,0,-1.555719127829876,-0.4608546183160405,,
0.7469035470856632,0.5620367448553261,0.0,training,1.0,,0,-1.3086059468861482,-0.3174171343078354,,
0.4421397983388001,0.8309481689542564,0.0,training,1.0,,0,-1.4601054651787366,-0.7745198483880921,,
0.8006450043892342,0.1394087178219587,0.0,training,1.0,,1,-1.582657509096242,0.11618640083408445,,
1.9788317645253557,0.2477800185702296,1.0,training,1.0,,1,-1.3016565215162383,0.4116582511163859,,
0.6167621389414086,-0.5274800805081481,1.0,training,1.0,,1,-1.1451693644013115,0.16372215334168874,,
0.533671769993485,1.106459339857751,0.0,training,1.0,,0,-1.012212579955593,0.02244258929657536,,
0.10371121167849576,1.007345977170596,0.0,training,1.0,,0,-1.228760023181316,-0.647463218253284,,
