f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label,subset,r,r_diff,closest_centroid,x_pca,y_pca,x_mds,y_mds
2,60,166,133,77,6,7,3,13,11,1.0,training,0.3715,,1,,,-84.48492,-21.632624
3,58,161,121,84,4,8,12,16,10,0.0,training,0.547,,0,,,-30.426407,16.271202
3,60,142,122,61,5,7,17,18,10,0.0,training,0.3591666666666667,,0,,,19.56788,23.381006
2,68,172,164,76,4,8,6,10,12,1.0,training,0.37383333333333335,,1,,,30.788538,25.907692
3,68,145,116,78,4,7,12,16,10,0.0,training,0.4751666666666667,,0,,,-36.23667,66.18661
2,60,148,109,79,6,8,11,18,11,0.0,training,0.4023333333333333,,0,,,81.364876,-35.430702
3,70,116,120,82,5,7,16,18,11,0.0,training,0.29583333333333334,,0,,,-6.204103,44.67342
2,45,160,152,85,5,9,16,16,11,0.0,training,0.41933333333333334,,0,,,-5.329067,65.67831
2,52,139,151,98,4,8,14,17,13,0.0,training,0.4721666666666667,,0,,,-67.18433,-45.599247
2,65,171,165,65,5,7,4,10,13,1.0,training,0.2355,,1,,,-5.787474,26.244171
3,66,163,134,107,5,8,3,12,12,1.0,training,0.30233333333333334,,1,,,-58.629288,49.458286
2,48,137,132,91,4,9,14,14,11,0.0,training,0.502,,0,,,-18.079361,-28.879978
2,62,147,149,86,4,9,14,18,10,0.0,training,0.5596666666666666,,0,,,-58.200504,-12.556995
3,65,146,100,61,5,9,12,14,10,0.0,training,0.38183333333333336,,0,,,49.833244,-4.887683
2,55,187,114,107,5,7,4,9,10,1.0,training,0.35233333333333333,,1,,,-53.49992,33.5353
3,33,137,124,67,4,8,12,15,11,0.0,training,0.39266666666666666,,0,,,-52.424576,-66.96249
2,64,146,139,92,6,8,15,17,10,0.0,training,0.5023333333333333,,0,,,21.156357,-83.40172
2,35,136,108,74,6,9,17,18,11,0.0,training,0.3411666666666667,,0,,,35.58129,-68.95501
3,43,161,105,71,4,7,13,14,11,0.0,training,0.38083333333333336,,0,,,-95.793045,0.52584374
3,53,168,118,89,4,9,10,17,11,0.0,training,0.49166666666666664,,0,,,-2.6480248,95.95539
3,68,183,100,87,4,9,15,16,10,0.0,training,0.48633333333333334,,0,,,-27.029114,-10.376154
3,45,152,126,102,5,9,13,14,11,0.0,training,0.3973333333333333,,0,,,39.13897,-38.607674
2,64,158,127,101,5,8,15,15,10,0.0,training,0.4715,,0,,,-33.495274,-49.211266
3,49,146,111,69,6,8,12,18,11,0.0,training,0.3735,,0,,,23.28807,-41.016636
3,62,168,170,105,4,7,3,9,12,1.0,training,0.24066666666666667,,1,,,30.738419,52.62203
2,56,155,116,84,5,9,15,16,10,0.0,training,0.49016666666666664,,0,,,59.61398,-29.241707
2,34,136,128,91,6,7,16,15,13,0.0,training,0.29833333333333334,,0,,,-19.019958,34.463
3,70,148,123,65,4,9,13,17,12,0.0,training,0.4165,,0,,,46.42149,6.850792
2,69,172,161,69,5,9,14,20,10,0.0,training,0.4003333333333333,,0,,,65.27397,-23.902061
2,70,135,129,82,4,7,19,16,11,0.0,training,0.4031666666666667,,0,,,-39.634285,45.16577
3,65,184,165,98,4,7,2,9,10,1.0,training,0.31133333333333335,,1,,,-37.76131,75.09805
3,33,145,120,67,6,9,12,12,10,1.0,training,0.403,,0,,,-28.063568,-84.30655
2,34,103,106,88,6,8,12,18,13,0.0,training,0.304,,0,,,74.88576,-1.944996
3,56,142,131,65,6,9,9,19,13,0.0,training,0.3755,,0,,,27.664085,-13.053686
2,66,137,129,85,5,8,15,14,13,0.0,training,0.39716666666666667,,0,,,56.34418,23.433767
2,50,142,168,72,4,7,4,12,11,1.0,training,0.3525,,1,,,-43.64949,43.962326
3,63,134,138,88,4,9,14,17,11,0.0,training,0.48783333333333334,,0,,,-1.7297145,93.47528
2,38,171,111,89,4,9,14,14,13,0.0,training,0.45,,0,,,-4.4160085,-83.35469
2,69,162,141,98,6,7,6,11,13,1.0,training,0.32116666666666666,,1,,,-15.638216,29.920124
3,48,160,116,83,6,7,13,18,11,0.0,training,0.345,,0,,,-5.816431,-19.356531
2,66,124,166,92,5,9,16,17,12,0.0,training,0.3485,,0,,,41.45188,40.99411
2,47,145,101,84,5,9,13,14,13,0.0,training,0.38,,0,,,26.435946,-55.17313
3,65,172,125,85,5,8,11,16,10,0.0,training,0.4741666666666667,,0,,,52.71784,55.855015
3,64,145,130,92,4,8,15,17,11,0.0,training,0.4711666666666667,,0,,,-46.75803,-64.472
2,63,184,117,103,6,9,3,12,13,1.0,training,0.3516666666666667,,1,,,-73.57838,38.67116
3,64,150,132,70,4,8,14,17,12,0.0,training,0.4505,,0,,,19.384174,-26.091114
3,60,148,168,92,4,7,15,20,12,0.0,training,0.3595,,0,,,29.882313,55.516663
2,32,171,126,83,5,7,18,17,12,0.0,training,0.2778333333333333,,0,,,-0.08059015,37.506023
3,56,144,122,64,6,9,11,22,10,0.0,training,0.4335,,0,,,-24.379253,-82.4581
2,53,150,113,88,5,9,16,15,11,0.0,training,0.41183333333333333,,0,,,-3.1184394,64.620316
2,52,144,164,74,6,8,4,10,10,1.0,training,0.4175,,1,,,21.97886,-87.191956
3,47,151,158,92,6,7,5,11,10,1.0,training,0.391,,1,,,11.314618,-57.564285
2,62,137,116,71,4,8,16,16,10,0.0,training,0.523,,0,,,-3.5859902,2.2059195
3,45,176,157,88,4,9,18,19,10,0.0,training,0.5201666666666667,,0,,,-31.577637,-9.37922
2,53,158,142,87,4,9,8,17,10,0.0,training,0.5701666666666667,,1,,,-58.26948,-10.929113
3,56,131,119,83,4,9,15,19,10,0.0,training,0.5348333333333334,,0,,,-26.778898,-6.723342
2,70,200,152,110,5,7,3,8,11,1.0,training,0.21033333333333334,,1,,,-28.701057,37.880592
2,62,137,169,65,6,8,12,16,10,0.0,training,0.3975,,0,,,19.751745,-85.443665
3,68,123,123,75,4,9,10,15,12,0.0,training,0.4538333333333333,,0,,,46.20085,6.8803844
3,47,175,168,81,4,8,6,16,11,1.0,training,0.4111666666666667,,1,,,-50.578293,-60.6998
2,62,172,132,65,4,7,13,14,10,0.0,training,0.5013333333333333,,0,,,12.492238,52.578766
2,50,219,152,110,6,7,5,8,13,1.0,training,0.23683333333333334,,1,,,-15.828769,28.990108
3,44,189,115,88,6,7,7,7,12,1.0,training,0.338,,1,,,28.772932,8.282047
2,58,156,154,87,4,7,13,17,10,0.0,training,0.528,,0,,,9.757917,51.25017
2,45,227,151,76,6,7,4,10,10,1.0,training,0.36816666666666664,,1,,,89.4609,-11.498351
2,59,176,116,76,6,8,14,17,12,0.0,training,0.4098333333333333,,0,,,31.606173,81.396225
2,66,157,103,62,4,8,19,17,12,0.0,training,0.37116666666666664,,0,,,38.443188,20.455406
3,53,153,131,66,5,8,15,18,11,0.0,training,0.36966666666666664,,0,,,-76.03569,5.931962
3,54,190,109,105,4,8,14,19,10,0.0,training,0.4891666666666667,,0,,,-30.246643,19.659721
2,53,153,117,84,6,8,14,14,10,0.0,training,0.5055,,0,,,19.29614,-82.97338
2,46,127,167,77,4,7,15,16,13,0.0,training,0.38383333333333336,,0,,,-51.380188,-33.27986
3,55,151,111,84,4,9,14,16,13,0.0,training,0.45566666666666666,,0,,,-2.9039476,-51.15264
